Row,Ast,End,Ex,In,Mic,Oli,Opc,Per
FO538757.2,0.19848566792861,0.0684931506849315,0.394528552456839,0.261112304058407,0.0801564027370479,0.0954449152542373,0.166536964980545,0.0736842105263158
SAMD11,0.00973499188750676,0.0410958904109589,0.00132802124833997,0.00236203564526519,0,0.000211864406779661,0,0.0315789473684211
NOC2L,0.0513791238507301,0.0410958904109589,0.259760956175299,0.135065492806528,0.0312805474095797,0.0361228813559322,0.0809338521400778,0.0421052631578947
KLHL17,0.010275824770146,0,0.0359096945551129,0.0180373631092978,0.00195503421309873,0.00349576271186441,0.00700389105058366,0.0315789473684211
PLEKHN1,0,0,0.000265604249667995,0.000429461026411853,0,0,0,0
PERM1,0.00162249864791779,0,0.000265604249667995,0.000214730513205927,0,0,0,0
HES4,0.0151433207138994,0.205479452054795,0.0529614873837981,0.064204423448572,0.00195503421309873,0.00105932203389831,0.0046692607003891,0.168421052631579
ISG15,0.010275824770146,0.0684931506849315,0.0430810092961487,0.0418724500751557,0.0136852394916911,0.00508474576271186,0.064591439688716,0.0631578947368421
AGRN,0.0697674418604651,0.10958904109589,0.156281540504648,0.0403693364827142,0.00293255131964809,0.0382415254237288,0.0848249027237354,0.115789473684211
RNF223,0,0,0.000159362549800797,0,0,0,0,0
C1orf159,0.0638182801514332,0.0410958904109589,0.178964143426295,0.0951256173502255,0.0117302052785924,0.0355932203389831,0.0428015564202335,0.0210526315789474
TTLL10,0.00486749594375338,0,0.00393094289508632,0.00214730513205927,0,0.00148305084745763,0.00311284046692607,0.0105263157894737
TNFRSF18,0.00108166576527853,0,0.0109428950863214,0.000858922052823706,0.00488758553274682,0.000211864406779661,0,0
TNFRSF4,0.000540832882639265,0.0136986301369863,0.0124302788844622,0.000429461026411853,0.00684261974584555,0.000317796610169492,0,0.0105263157894737
SDF4,0.0767982693347756,0.123287671232877,0.209508632138114,0.133777109727292,0.0400782013685239,0.0457627118644068,0.0910505836575875,0.0736842105263158
B3GALT6,0.0075716603569497,0.0136986301369863,0.057742363877822,0.0326390380073008,0.00782013685239492,0.00625,0.0202334630350195,0.0105263157894737
FAM132A,0.00108166576527853,0,0.00371845949535193,0.00236203564526519,0,0.000317796610169492,0.000778210116731518,0.0105263157894737
UBE2J2,0.0562466197944835,0.0547945205479452,0.195856573705179,0.132273996134851,0.0312805474095797,0.0418432203389831,0.0684824902723735,0.0105263157894737
SCNN1D,0.0259599783666847,0,0.0369189907038513,0.0257676615847112,0.00391006842619746,0.00953389830508475,0.0280155642023346,0.0105263157894737
ACAP3,0.0946457544618713,0.0821917808219178,0.471235059760956,0.170066566459094,0.0156402737047898,0.101059322033898,0.350194552529183,0.0947368421052632
PUSL1,0.0075716603569497,0,0.0234262948207171,0.0103070646338845,0.00684261974584555,0.00476694915254237,0.00856031128404669,0
CPSF3L,0.0984315846403461,0.0821917808219178,0.298486055776892,0.166201417221387,0.0205278592375367,0.0683262711864407,0.101167315175097,0.0526315789473684
CPTP,0.0227149810708491,0.0136986301369863,0.0946082337317397,0.0519647841958342,0.00488758553274682,0.0114406779661017,0.0264591439688716,0.0210526315789474
TAS1R3,0.000540832882639265,0,0.00207171314741036,0.00193257461885334,0.000977517106549365,0,0.000778210116731518,0
